uc_id,category,subcategory,title,criticality,difficulty,monitoring_type,splunk_pillar,regulations,mitre_attack,source_file,source_line
UC-1.1.53,1,1,Socket Buffer Overflow Detection,high,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.53.json,1
UC-1.1.54,1,1,Network Namespace Monitoring,medium,advanced,Security,Security,,,content/cat-01-server-compute/UC-1.1.54.json,1
UC-1.1.55,1,1,DNS Resolution Failure Rate,high,intermediate,Availability,Observability,,,content/cat-01-server-compute/UC-1.1.55.json,1
UC-1.1.56,1,1,Firewall Rule Hit Tracking (iptables/nftables),medium,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.56.json,1
UC-1.1.57,1,1,ARP Table Overflow Detection,high,advanced,Security,Security,,,content/cat-01-server-compute/UC-1.1.57.json,1
UC-1.1.58,1,1,Network Bond Failover Events (Linux),critical,beginner,Availability,Observability,,,content/cat-01-server-compute/UC-1.1.58.json,1
UC-1.1.59,1,1,Network Team Failover Detection (Linux),critical,intermediate,Availability,Observability,,,content/cat-01-server-compute/UC-1.1.59.json,1
UC-1.1.60,1,1,MTU Mismatch Detection,medium,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.60.json,1
UC-1.1.61,1,1,TCP TIME_WAIT Accumulation,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.61.json,1
UC-1.1.62,1,1,Network Bandwidth Utilization by Interface (Linux),medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.62.json,1
UC-1.1.63,1,1,Dropped Packets by Network Interface,high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.63.json,1
UC-1.1.64,1,1,Network Latency Monitoring (Ping RTT),medium,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.64.json,1
UC-1.1.65,1,1,Auditd Rule Violation Detection,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.65.json,1
UC-1.1.66,1,1,SELinux Denial Monitoring,high,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.66.json,1
UC-1.1.67,1,1,AppArmor Profile Violation Detection,high,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.67.json,1
UC-1.1.68,1,1,Rootkit Detection via File Integrity,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.68.json,1
UC-1.1.69,1,1,SUID/SGID Binary Changes,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.69.json,1
UC-1.1.70,1,1,/etc/passwd Modifications,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.70.json,1
UC-1.1.71,1,1,/etc/shadow Modifications,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.71.json,1
UC-1.1.72,1,1,SSH Public Key Changes,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.72.json,1
UC-1.1.73,1,1,PAM Authentication Failure Tracking,high,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.73.json,1
UC-1.1.74,1,1,Login from Unusual Source IPs,high,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.74.json,1
UC-1.1.75,1,1,Failed su Attempts,high,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.75.json,1
UC-1.1.76,1,1,Privilege Escalation Detection,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.76.json,1
UC-1.1.77,1,1,Unauthorized Cron Job Additions,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.77.json,1
UC-1.1.78,1,1,Open Port Changes,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.78.json,1
UC-1.1.79,1,1,Setcap Binary Monitoring,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.79.json,1
UC-1.1.80,1,1,Systemd Unit Failures,high,beginner,Availability,Observability,,,content/cat-01-server-compute/UC-1.1.80.json,1
UC-1.1.81,1,1,Systemd Timer Missed Triggers,medium,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.81.json,1
UC-1.1.82,1,1,D-State (Uninterruptible Sleep) Process Detection,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.82.json,1
UC-1.1.83,1,1,Process CPU Affinity Changes,medium,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.83.json,1
UC-1.1.84,1,1,Runaway Process Detection (CPU Hog),high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.84.json,1
UC-1.1.85,1,1,Memory Hog Detection,high,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.85.json,1
UC-1.1.86,1,1,Fork Bomb Detection,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.86.json,1
UC-1.1.87,1,1,Process Namespace Breakout Detection,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.87.json,1
UC-1.1.88,1,1,Container Escape Attempt Detection,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.88.json,1
UC-1.1.89,1,1,Syslog Flood Detection,high,intermediate,Anomaly,Observability,,,content/cat-01-server-compute/UC-1.1.89.json,1
UC-1.1.90,1,1,Journal Disk Usage Monitoring,medium,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.90.json,1
UC-1.1.91,1,1,Log Rotation Failures,medium,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.91.json,1
UC-1.1.92,1,1,Auditd Daemon Health,high,beginner,Compliance,Observability,,,content/cat-01-server-compute/UC-1.1.92.json,1
UC-1.1.93,1,1,Rsyslog Queue Backlog Monitoring,medium,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.93.json,1
UC-1.1.94,1,1,Failed Log Forwarding,high,beginner,Compliance,Observability,,,content/cat-01-server-compute/UC-1.1.94.json,1
UC-1.1.95,1,1,TCP Connection Establishment Rate,medium,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.95.json,1
UC-1.1.96,1,1,NUMA Hit/Miss Ratio Tracking,medium,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.96.json,1
UC-1.1.97,1,1,CPU C-State Residency Monitoring,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.97.json,1
UC-1.1.98,1,1,TLB Shootdown Rate Monitoring,medium,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.98.json,1
UC-1.1.99,1,1,Kernel Lock Contention Detection,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.99.json,1
UC-1.1.100,1,1,Vmstat swap-in (si) rate,medium,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.100.json,1
UC-1.1.101,1,1,Context Switch Anomalies Detection,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.101.json,1
UC-1.1.102,1,1,EDAC Memory Error Tracking,critical,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.102.json,1
UC-1.1.103,1,1,IPMI Sensor Threshold Violations,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.103.json,1
UC-1.1.104,1,1,Thermal Throttling Detection,critical,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.104.json,1
UC-1.1.105,1,1,Fan Speed Anomalies,critical,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.105.json,1
UC-1.1.106,1,1,Power Supply State Changes,critical,beginner,Availability,Observability,,,content/cat-01-server-compute/UC-1.1.106.json,1
UC-1.1.107,1,1,Hardware Clock Drift Detection,high,intermediate,Configuration,Observability,,,content/cat-01-server-compute/UC-1.1.107.json,1
UC-1.1.108,1,1,Password Policy Violation Detection,medium,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.108.json,1
UC-1.1.109,1,1,Account Expiry Monitoring,medium,intermediate,Compliance; Security,Security,,,content/cat-01-server-compute/UC-1.1.109.json,1
UC-1.1.110,1,1,Inactive User Detection,medium,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.110.json,1
UC-1.1.111,1,1,World-Writable File Detection,high,advanced,Security,Security,,,content/cat-01-server-compute/UC-1.1.111.json,1
UC-1.1.112,1,1,Unowned File Detection,high,advanced,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.112.json,1
UC-1.1.113,1,1,SETUID Audit and Tracking,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.113.json,1
UC-1.1.114,1,1,Open File Handle Per-Process Monitoring,medium,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.114.json,1
UC-1.1.115,1,1,Listening Port Compliance,high,intermediate,Compliance,Security,,,content/cat-01-server-compute/UC-1.1.115.json,1
UC-1.1.116,1,1,Installed Package Drift Detection,medium,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.116.json,1
UC-1.1.117,1,1,Configuration File Change Tracking (/etc),critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.117.json,1
UC-1.1.118,1,1,System Reboot Frequency Anomaly,medium,intermediate,Anomaly,Observability,,,content/cat-01-server-compute/UC-1.1.118.json,1
UC-1.1.119,1,1,Defunct (Zombie) Process Accumulation,medium,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.119.json,1
UC-1.1.120,1,1,Symbolic Link Chain Depth Monitoring,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.120.json,1
UC-1.1.121,1,1,Bootloader Configuration Changes,critical,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.121.json,1
UC-1.1.122,1,1,Systemd Unit State Monitoring,high,intermediate,Availability; Fault,Observability,,,content/cat-01-server-compute/UC-1.1.122.json,1
UC-1.1.123,1,1,Linux Cgroup Resource Pressure (PSI),medium,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.123.json,1
UC-1.1.124,1,1,Linux Entropy Pool Depletion,medium,intermediate,Performance; Security,Security,,,content/cat-01-server-compute/UC-1.1.124.json,1
UC-1.1.125,1,1,Linux Journal / Journald Health,medium,intermediate,Availability,Observability,,,content/cat-01-server-compute/UC-1.1.125.json,1
UC-1.1.126,1,1,Chrony / NTP Time Synchronization Drift,high,intermediate,Configuration; Availability,Observability,,,content/cat-01-server-compute/UC-1.1.126.json,1
UC-1.1.127,1,1,Swap Activity Rate Trending,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.127.json,1
UC-1.1.128,1,1,Filesystem Inode Exhaustion,critical,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.128.json,1
UC-1.1.129,1,1,Linux Softirq / Hardirq Time,medium,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.129.json,1
UC-1.1.130,1,1,TCP Connection State Distribution (Linux),medium,intermediate,Performance; Fault,Observability,,,content/cat-01-server-compute/UC-1.1.130.json,1
UC-1.1.131,1,1,Linux OOM Killer Invocation Tracking,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.131.json,1
UC-1.1.132,1,1,macOS Notebook Battery Health and Cycle Count Threshold,medium,intermediate,Performance; Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.132.json,1
UC-1.1.133,1,1,macOS CPU Thermal Pressure and Throttle Events,high,intermediate,Performance; Fault,Observability,,,content/cat-01-server-compute/UC-1.1.133.json,1
UC-1.1.134,1,1,macOS Filesystem Capacity from Splunk TA df,high,beginner,Capacity; Performance,Observability,,,content/cat-01-server-compute/UC-1.1.134.json,1
UC-1.2.1,1,2,CPU Utilization Trending (Windows),high,intermediate,Performance; Capacity,Observability,,,content/cat-01-server-compute/UC-1.2.1.json,1
UC-1.2.2,1,2,Memory Utilization & Paging (Windows),high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.2.json,1
UC-1.2.3,1,2,Disk Space Monitoring (Windows),critical,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.2.3.json,1
UC-1.2.4,1,2,Windows Service Failures,critical,beginner,Availability,Observability,,,content/cat-01-server-compute/UC-1.2.4.json,1
UC-1.2.5,1,2,Event Log Flood Detection,medium,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.5.json,1
UC-1.2.6,1,2,Failed Login Monitoring,high,intermediate,Compliance,Security,,,content/cat-01-server-compute/UC-1.2.6.json,1
UC-1.2.7,1,2,Account Lockout Tracking,high,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.2.7.json,1
UC-1.2.8,1,2,Privileged Group Changes,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.8.json,1
UC-1.2.9,1,2,Windows Update Compliance,medium,advanced,Compliance,Security,,,content/cat-01-server-compute/UC-1.2.9.json,1
UC-1.2.10,1,2,Scheduled Task Failures,medium,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.10.json,1
UC-1.2.11,1,2,Blue Screen of Death (BSOD),critical,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.11.json,1
UC-1.2.12,1,2,RDP Session Monitoring,high,beginner,Compliance,Security,,,content/cat-01-server-compute/UC-1.2.12.json,1
UC-1.2.13,1,2,PowerShell Script Execution,high,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.2.13.json,1
UC-1.2.15,1,2,DNS Server Health,high,beginner,Availability,Observability,,,content/cat-01-server-compute/UC-1.2.15.json,1
UC-1.2.16,1,2,DHCP Scope Exhaustion,high,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.2.16.json,1
UC-1.2.17,1,2,Certificate Expiration,high,advanced,Availability,Observability,,,content/cat-01-server-compute/UC-1.2.17.json,1
UC-1.2.19,1,2,Group Policy Processing Failures,medium,beginner,Configuration,Observability,,,content/cat-01-server-compute/UC-1.2.19.json,1
UC-1.2.20,1,2,Print Spooler Issues,low,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.2.20.json,1
UC-1.2.21,1,2,Disk I/O Queue Length (Windows),high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.21.json,1
UC-1.2.22,1,2,Process Handle Leak Detection,high,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.22.json,1
UC-1.2.23,1,2,Non-Paged Pool Exhaustion,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.23.json,1
UC-1.2.24,1,2,Network Interface Utilization (Windows),high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.24.json,1
UC-1.2.25,1,2,Processor Queue Length,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.25.json,1
UC-1.2.26,1,2,Security Log Cleared,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.2.26.json,1
UC-1.2.27,1,2,New Service Installation,high,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.2.27.json,1
UC-1.2.28,1,2,Windows Firewall Rule Changes,high,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.2.28.json,1
UC-1.2.29,1,2,Registry Run Key Modification (Persistence),critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.29.json,1
UC-1.2.30,1,2,LSASS Memory Access (Credential Dumping),critical,intermediate,Performance,Security,,,content/cat-01-server-compute/UC-1.2.30.json,1
UC-1.2.31,1,2,Kerberos Authentication Failures,high,intermediate,Configuration,Observability,,,content/cat-01-server-compute/UC-1.2.31.json,1
UC-1.2.32,1,2,WMI Event Subscription Persistence,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.32.json,1
UC-1.2.33,1,2,Audit Policy Changes,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.2.33.json,1
UC-1.2.34,1,2,AppLocker / WDAC Policy Violations,high,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.34.json,1
UC-1.2.35,1,2,Windows Defender Threat Detections,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.35.json,1
UC-1.2.36,1,2,DCSync Attack Detection,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.36.json,1
UC-1.2.37,1,2,Kerberoasting Detection (SPN Ticket Requests),critical,intermediate,Availability,Security,,,content/cat-01-server-compute/UC-1.2.37.json,1
UC-1.2.38,1,2,AD Object Deletion Monitoring,critical,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.38.json,1
UC-1.2.39,1,2,Domain Trust Changes,critical,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.2.39.json,1
UC-1.2.40,1,2,WHEA Hardware Error Reporting,high,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.40.json,1
UC-1.2.41,1,2,Volume Shadow Copy Failures,high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.41.json,1
UC-1.2.42,1,2,.NET CLR Performance Monitoring,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.42.json,1
UC-1.2.43,1,2,Failover Cluster Event Monitoring,critical,beginner,Availability,Observability,,,content/cat-01-server-compute/UC-1.2.43.json,1
UC-1.2.44,1,2,SMB Share Access Anomalies,high,intermediate,Performance,Security,,,content/cat-01-server-compute/UC-1.2.44.json,1
UC-1.2.45,1,2,Windows Time Service (W32Time) Issues,high,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.2.45.json,1
UC-1.2.46,1,2,DFS-R Replication Backlog,high,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.46.json,1
UC-1.2.47,1,2,Application Crash (WER) Trending,medium,intermediate,Fault,Security,,,content/cat-01-server-compute/UC-1.2.47.json,1
UC-1.2.48,1,2,PowerShell Script Block Logging,high,intermediate,Performance,Security,,,content/cat-01-server-compute/UC-1.2.48.json,1
UC-1.2.49,1,2,Lateral Movement via Explicit Credentials,critical,advanced,Performance,Security,,,content/cat-01-server-compute/UC-1.2.49.json,1
UC-1.2.50,1,2,DNS Debug Query Logging,medium,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.50.json,1
UC-1.2.51,1,2,Process Creation with Command Line Auditing,high,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.51.json,1
UC-1.2.52,1,2,NIC Teaming / LBFO Failover (Windows),high,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.52.json,1
UC-1.2.53,1,2,BitLocker Recovery Events,high,beginner,Performance,Security,,,content/cat-01-server-compute/UC-1.2.53.json,1
UC-1.2.54,1,2,Windows Event Forwarding (WEF) Health,high,advanced,Availability,Observability,,,content/cat-01-server-compute/UC-1.2.54.json,1
UC-1.2.55,1,2,Suspicious Token Manipulation,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.55.json,1
UC-1.2.56,1,2,Sysmon Network Connection Monitoring,high,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.56.json,1
UC-1.2.57,1,2,Thread Count Exhaustion,high,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.2.57.json,1
UC-1.2.58,1,2,Storage Spaces Health Monitoring,critical,advanced,Availability,Observability,,,content/cat-01-server-compute/UC-1.2.58.json,1
UC-1.2.59,1,2,DCOM / COM+ Application Errors,medium,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.59.json,1
UC-1.2.60,1,2,Code Integrity / Driver Signing Violations,critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.60.json,1
UC-1.2.61,1,2,Data Deduplication Health,medium,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.61.json,1
UC-1.2.62,1,2,TCP Connection State Monitoring (Windows),medium,intermediate,Availability,Observability,,,content/cat-01-server-compute/UC-1.2.62.json,1
UC-1.2.63,1,2,Windows Installer Failures,medium,intermediate,Compliance,Observability,,,content/cat-01-server-compute/UC-1.2.63.json,1
UC-1.2.64,1,2,Event Log Channel Size / Overflow,high,advanced,Compliance,Observability,,,content/cat-01-server-compute/UC-1.2.64.json,1
UC-1.2.65,1,2,Pass-the-Hash / NTLM Relay Detection,critical,intermediate,Performance,Security,,,content/cat-01-server-compute/UC-1.2.65.json,1
UC-1.2.66,1,2,Sysmon File Creation in Suspicious Paths,high,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.66.json,1
UC-1.2.67,1,2,Golden Ticket Detection (TGT Anomalies),critical,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.2.67.json,1
UC-1.2.68,1,2,NTFS Corruption and Self-Healing,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.2.68.json,1
